,date,price
0,2022-05-01,121.63
1,2022-04-30,121.63
2,2022-04-29,121.63
3,2022-04-28,121.63
4,2022-04-27,121.63
5,2022-04-26,121.63
6,2022-04-25,121.63
7,2022-04-24,121.63
8,2022-04-23,121.63
9,2022-04-22,121.63
10,2022-04-21,121.63
11,2022-04-20,121.63
12,2022-04-19,121.63
13,2022-04-18,121.63
14,2022-04-17,121.63
15,2022-04-16,121.63
16,2022-04-15,121.63
17,2022-04-14,121.63
18,2022-04-13,121.63
19,2022-04-12,121.63
20,2022-04-11,121.63
21,2022-04-10,121.63
22,2022-04-09,121.63
23,2022-04-08,121.63
24,2022-04-07,121.63
25,2022-04-06,121.63
26,2022-04-05,120.75
27,2022-04-04,119.87
28,2022-04-03,119.44
29,2022-04-02,118.56
30,2022-04-01,117.68
31,2022-03-31,117.68
32,2022-03-30,116.81
33,2022-03-29,115.93
34,2022-03-28,115.05
35,2022-03-27,114.73
36,2022-03-26,114.18
37,2022-03-25,113.34
38,2022-03-24,112.47
39,2022-03-23,112.47
40,2022-03-22,111.59
41,2022-03-21,110.71
42,2022-03-20,110.71
43,2022-03-19,110.71
44,2022-03-18,110.71
45,2022-03-17,110.71
46,2022-03-16,110.71
47,2022-03-15,110.71
48,2022-03-14,110.71
49,2022-03-13,110.71
50,2022-03-12,110.71
51,2022-03-11,110.71
52,2022-03-10,110.71
53,2022-03-09,110.71
54,2022-03-08,110.71
55,2022-03-07,110.71
56,2022-03-06,110.71
57,2022-03-05,110.71
58,2022-03-04,110.71
59,2022-03-03,110.71
60,2022-03-02,110.71
61,2022-03-01,110.71
62,2022-02-28,110.71
63,2022-02-27,110.71
64,2022-02-26,110.71
65,2022-02-25,110.71
66,2022-02-24,110.71
67,2022-02-23,110.71
68,2022-02-22,110.71
69,2022-02-21,110.71
70,2022-02-20,110.71
71,2022-02-19,110.71
72,2022-02-18,110.71
73,2022-02-17,110.71
74,2022-02-16,110.71
75,2022-02-15,110.71
76,2022-02-14,110.71
77,2022-02-13,110.71
78,2022-02-12,110.71
79,2022-02-11,110.71
80,2022-02-10,110.71
81,2022-02-09,110.71
82,2022-02-08,110.71
83,2022-02-07,110.71
84,2022-02-06,110.71
85,2022-02-05,110.71
86,2022-02-04,110.71
87,2022-02-03,110.71
88,2022-02-02,110.71
89,2022-02-01,110.71
90,2022-01-31,110.71
91,2022-01-30,110.71
92,2022-01-29,110.71
93,2022-01-28,110.71
94,2022-01-27,110.71
95,2022-01-26,110.71
96,2022-01-25,110.71
97,2022-01-24,110.71
98,2022-01-23,110.71
99,2022-01-22,110.71
100,2022-01-21,110.71
101,2022-01-20,110.71
102,2022-01-19,110.71
103,2022-01-18,110.71
104,2022-01-17,110.71
105,2022-01-16,110.71
106,2022-01-15,110.71
107,2022-01-14,110.71
108,2022-01-13,110.71
109,2022-01-12,110.71
110,2022-01-11,110.71
111,2022-01-10,110.71
112,2022-01-09,110.71
113,2022-01-08,110.71
114,2022-01-07,110.71
115,2022-01-06,110.71
116,2022-01-05,110.71
117,2022-01-04,110.71
118,2022-01-03,110.71
119,2022-01-02,110.71
120,2022-01-01,110.71
121,2021-12-31,110.71
122,2021-12-30,110.71
123,2021-12-29,110.71
124,2021-12-28,110.71
125,2021-12-27,110.71
126,2021-12-26,110.71
127,2021-12-25,110.71
128,2021-12-24,110.71
129,2021-12-23,110.71
130,2021-12-22,110.71
131,2021-12-21,110.71
132,2021-12-20,110.71
133,2021-12-19,110.71
134,2021-12-18,110.71
135,2021-12-17,110.71
136,2021-12-16,110.71
137,2021-12-15,110.71
138,2021-12-14,110.71
139,2021-12-13,110.71
140,2021-12-12,110.71
141,2021-12-11,110.71
142,2021-12-10,110.71
143,2021-12-09,110.71
144,2021-12-08,110.71
145,2021-12-07,110.71
146,2021-12-06,110.71
147,2021-12-05,110.71
148,2021-12-04,110.71
149,2021-12-03,110.71
150,2021-12-02,110.71
151,2021-11-30,110.71
152,2021-11-29,110.71
153,2021-11-28,110.71
154,2021-11-27,110.71
155,2021-11-26,110.71
156,2021-11-25,110.71
157,2021-11-24,110.71
158,2021-11-23,110.71
159,2021-11-22,110.71
160,2021-11-21,110.71
161,2021-11-20,110.71
162,2021-11-19,110.71
163,2021-11-18,110.71
164,2021-11-17,110.71
165,2021-11-16,110.71
166,2021-11-15,110.71
167,2021-11-14,110.71
168,2021-11-13,110.71
169,2021-11-12,110.71
170,2021-11-11,110.71
171,2021-11-10,110.71
172,2021-11-09,110.71
173,2021-11-08,110.71
174,2021-11-07,110.71
175,2021-11-06,110.71
176,2021-11-05,110.71
177,2021-11-04,110.71
178,2021-11-03,116.81
179,2021-11-02,116.81
180,2021-11-01,116.44
181,2021-10-31,116
182,2021-10-30,115.64
183,2021-10-29,115.29
184,2021-10-28,114.94
185,2021-10-27,114.59
186,2021-10-26,114.24
187,2021-10-25,114.24
188,2021-10-24,114.24
189,2021-10-23,113.89
190,2021-10-22,113.53
191,2021-10-20,112.83
192,2021-10-19,112.48
193,2021-10-18,112.48
194,2021-10-15,111.77
195,2021-10-14,111.42
196,2021-10-13,111.07
197,2021-10-12,111.07
198,2021-10-11,111.07
199,2021-10-10,110.77
200,2021-10-09,110.47
201,2021-10-08,110.17
202,2021-10-07,109.86
203,2021-10-06,109.56
204,2021-10-05,109.26
205,2021-10-04,109.01
206,2021-10-03,109.01
207,2021-10-02,108.76
208,2021-10-01,108.51
209,2021-09-30,108.27
210,2021-09-29,108.03
211,2021-09-28,108.03
212,2021-09-27,107.84
213,2021-09-26,107.84
214,2021-09-25,107.84
215,2021-09-24,107.84
216,2021-09-23,107.84
217,2021-09-22,107.84
218,2021-09-21,107.84
219,2021-09-20,107.84
220,2021-09-19,107.84
221,2021-09-18,107.84
222,2021-09-17,107.84
223,2021-09-16,107.84
224,2021-09-15,107.84
225,2021-09-14,107.84
226,2021-09-13,107.84
227,2021-09-12,107.84
228,2021-09-11,107.84
229,2021-09-10,107.84
230,2021-09-09,107.84
231,2021-09-08,107.84
232,2021-09-07,107.84
233,2021-09-06,107.84
234,2021-09-05,107.84
235,2021-09-03,108
236,2021-09-02,108
237,2021-09-01,108
238,2021-08-31,108.17
239,2021-08-30,108.17
240,2021-08-29,108.17
241,2021-08-28,108.17
242,2021-08-27,108.17
243,2021-08-26,108.17
244,2021-08-25,108.17
245,2021-08-24,108.17
246,2021-08-23,108.31
247,2021-08-22,108.31
248,2021-08-21,108.37
249,2021-08-20,108.37
250,2021-08-19,108.37
251,2021-08-18,108.39
252,2021-08-17,108.39
253,2021-08-16,108.39
254,2021-08-15,108.39
255,2021-08-14,108.39
256,2021-08-13,108.39
257,2021-08-12,108.39
258,2021-08-11,108.39
259,2021-08-10,108.39
260,2021-08-09,108.39
261,2021-08-08,108.39
262,2021-08-07,108.39
263,2021-08-06,108.39
264,2021-08-05,108.39
265,2021-08-04,108.39
266,2021-08-03,108.39
267,2021-08-02,108.39
268,2021-08-01,108.39
269,2021-07-31,108.39
270,2021-07-30,108.39
271,2021-07-29,108.39
272,2021-07-28,108.39
273,2021-07-27,108.39
274,2021-07-26,108.39
275,2021-07-25,108.39
276,2021-07-24,108.39
277,2021-07-23,108.39
278,2021-07-22,108.39
279,2021-07-21,108.39
280,2021-07-20,108.39
281,2021-07-19,108.39
282,2021-07-18,108.39
283,2021-07-17,108.39
284,2021-07-16,108.09
285,2021-07-15,108.09
286,2021-07-14,107.73
287,2021-07-13,107.73
288,2021-07-12,107.73
289,2021-07-11,107.45
290,2021-07-10,107.45
291,2021-07-09,107.1
292,2021-07-08,107.1
293,2021-07-07,106.75
294,2021-07-06,106.4
295,2021-07-05,106.4
296,2021-07-04,106.04
297,2021-07-03,105.69
298,2021-07-02,105.69
299,2021-07-01,105.34
300,2021-06-30,105.34
301,2021-06-29,105.34
302,2021-06-28,104.99
303,2021-06-27,104.99
304,2021-06-26,104.64
305,2021-06-25,104.29
306,2021-06-24,104.29
307,2021-06-23,104.02
308,2021-06-22,104.02
309,2021-06-21,103.74
310,2021-06-20,103.74
311,2021-06-19,103.45
312,2021-06-18,103.45
313,2021-06-17,103.18
314,2021-06-16,103.18
315,2021-06-15,102.93
316,2021-06-14,102.93
317,2021-06-13,102.64
318,2021-06-12,102.64
319,2021-06-11,102.37
320,2021-06-10,102.07
321,2021-06-09,102.07
322,2021-06-08,101.82
323,2021-06-07,101.82
324,2021-06-06,101.54
325,2021-06-05,101.27
326,2021-06-04,101.27
327,2021-06-03,101
328,2021-06-02,101
329,2021-06-01,101
330,2021-05-31,100.74
331,2021-05-30,100.45
332,2021-05-29,100.45
333,2021-05-28,100.18
334,2021-05-27,100.18
335,2021-05-26,99.94
336,2021-05-25,99.94
337,2021-05-24,99.71
338,2021-05-23,99.71
339,2021-05-22,99.54
340,2021-05-21,99.54
341,2021-05-20,99.35
342,2021-05-19,99.35
343,2021-05-18,99.35
344,2021-05-17,99.08
345,2021-05-16,99.08
346,2021-05-15,98.84
347,2021-05-14,98.84
348,2021-05-13,98.55
349,2021-05-12,98.55
350,2021-05-11,98.3
351,2021-05-10,98.02
352,2021-05-09,97.76
353,2021-05-08,97.76
354,2021-05-07,97.76
355,2021-05-06,97.48
356,2021-05-05,97.23
357,2021-05-04,97.04
358,2021-05-03,96.78
359,2021-05-02,96.78
360,2021-05-01,96.78
361,2021-04-30,96.78
362,2021-04-29,96.78
363,2021-04-28,96.78
364,2021-04-27,96.78
